Fundamental Frequency,RMS Energy,Spectral Centroid,Spectral Bandwidth,Spectral Flatness,Zero-Crossing Rate,Formant 1,Harmonics-to-Noise Ratio,Entropy of the Audio Signal,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,Chroma1,Chroma2,Chroma3,Chroma4,Chroma5,Chroma6,Chroma7,Chroma8,Chroma9,Chroma10,Chroma11,Chroma12,Screaming
264.2817888969059,0.2846884429454803,2710.203023292482,2791.133095662336,0.004592417,0.070566899,944.0217569686656,-21.49590633,5.020853996276856,-163.4348602,118.69080352783205,-91.81115723,-28.72353554,-47.76886368,-3.61147809,0.9003557562828064,-11.80548859,-8.255625725,7.817736625671387,-4.811094284,3.480895996,0.6777246594429016,0.1802558302879333,0.2591744363307953,0.3192338347434997,0.1942625194787979,0.1975002437829971,0.2351512163877487,0.2603000700473785,0.3375641405582428,0.3146231174468994,0.4201278984546661,0.3371955454349518,0.2080972790718078,1
66.92971264972078,0.1147651076316833,882.1667851,1708.5154184640023,6.284073606366292e-05,0.012007074,916.4095821058402,-126.5921268,3.819479465484619,-313.3275452,165.42027282714844,11.140738487243652,39.90924835205078,32.79944610595703,2.912414073944092,18.411874771118164,28.61528968811035,8.134838104248047,9.304834365844728,16.314376831054688,4.595454692840576,0.015632736,0.7716221213340759,0.7479390501976013,0.7609723806381226,0.7820985317230225,0.8016685843467712,0.7687254548072815,0.7334356904029846,0.7238393425941467,0.7408931851387024,0.7348835468292236,0.7285386323928833,0.7528518438339233,0
264.2817888969059,0.2846884429454803,2710.203023292482,2791.133095662336,0.004592417,0.070566899,944.0217569686656,-21.49590633,5.020853996276856,-163.4348602,118.69080352783205,-91.81115723,-28.72353554,-47.76886368,-3.61147809,0.9003557562828064,-11.80548859,-8.255625725,7.817736625671387,-4.811094284,3.480895996,0.6777246594429016,0.1802558302879333,0.2591744363307953,0.3192338347434997,0.1942625194787979,0.1975002437829971,0.2351512163877487,0.2603000700473785,0.3375641405582428,0.3146231174468994,0.4201278984546661,0.3371955454349518,0.2080972790718078,1
66.92971264972078,0.1147651076316833,882.1667851,1708.5154184640023,6.284073606366292e-05,0.012007074,916.4095821058402,-126.5921268,3.819479465484619,-313.3275452,165.42027282714844,11.140738487243652,39.90924835205078,32.79944610595703,2.912414073944092,18.411874771118164,28.61528968811035,8.134838104248047,9.304834365844728,16.314376831054688,4.595454692840576,0.015632736,0.7716221213340759,0.7479390501976013,0.7609723806381226,0.7820985317230225,0.8016685843467712,0.7687254548072815,0.7334356904029846,0.7238393425941467,0.7408931851387024,0.7348835468292236,0.7285386323928833,0.7528518438339233,0
639.5146406005993,0.058881935,3586.431335009668,2929.8528475566186,0.006078257,0.09809978,1155.7667791277695,-61.43058491,5.454209804534912,-350.3635559,58.798458099365234,-124.8264923,-2.084277391,-17.15766144,6.4363884925842285,10.420772552490234,10.730682373046877,-5.185826778,-5.187787533,-1.699120045,7.964499473571777,6.932037353515625,0.2754782140254974,0.2411767095327377,0.232051596,0.2421336621046066,0.4010952711105346,0.524659276,0.6197466254234314,0.581264853,0.4911948144435882,0.4374804198741913,0.3446418642997741,0.3233487904071808,1
520.1784263030944,0.054083116,3624.317313821512,3560.7868349277983,0.015216417,0.084666761,1246.1951029255815,-90.55132351,5.4512887,-393.0758057,71.35346984863281,-73.49816132,-13.45318222,-45.06195068,3.8068788051605225,4.273435592651367,6.166790485,3.1618218421936035,-3.823121309,-3.76300621,-0.860114872,4.898971080780029,0.4008606076240539,0.4240607619285583,0.4158375263214111,0.402736485,0.3937545418739319,0.3861521482467651,0.3148084580898285,0.3686787784099579,0.4250916838645935,0.4407657086849212,0.3589952886104584,0.360309899,1
476.2552610702856,0.2742654979228973,2481.563870879723,2906.7386376658424,0.001302653,0.055727988,820.1084112604443,-35.57568809,5.073111057281494,-144.4837494,125.80377197265624,-64.59083557,-18.78426743,-28.05747223,9.480794906616213,-5.752084255,6.056005477905273,-4.887177944,-0.232994989,-8.78384304,2.1194491386413574,5.745632648468018,0.2191244512796402,0.2904070019721985,0.3449672162532806,0.3380768001079559,0.4427415430545807,0.4622909128665924,0.4998046159744262,0.4282099902629852,0.3652847111225128,0.3527393937110901,0.3576669096946716,0.2502417266368866,1
401.7247603185064,0.036140908,1889.9719092107705,2172.8644850399664,0.002211442,0.046834585,731.5564695138054,-107.5342685,4.506441116333008,-454.0067139,127.23625183105467,-38.17121887,-32.80266953,-24.66098785,-20.00027466,-2.741912365,-1.386007667,1.484333634376526,10.08824062347412,16.25427818,18.22679710388184,14.66627597808838,0.055421319,0.1175944209098815,0.1240362226963043,0.072928414,0.086109206,0.1899571865797042,0.5792989730834961,0.7402262091636658,0.6711979508399963,0.4502155184745788,0.3153154253959656,0.1337600797414779,1
354.72007700673146,0.040046059,1558.9086958220155,1755.2174123030884,0.000474255,0.045087719,1026.3372950144897,-98.075742,4.595134735107422,-403.8077087,156.8804931640625,-43.85623932,-35.31067657,-11.85161495,1.954936027526856,0.6023631691932678,-2.057825565,4.022342681884766,-1.502671719,-3.35782361,-1.960274577,3.217787742614746,0.2814324498176574,0.3688161969184875,0.4107029139995575,0.4482303261756897,0.5930193066596985,0.5633341670036316,0.3710685670375824,0.3214818239212036,0.3626571893692016,0.4114061594009399,0.5062723755836487,0.3707020580768585,1
404.4595911480851,0.065201558,1431.0671264710525,1484.1880421008316,7.180703687481582e-05,0.044602741,758.691584,-59.56659254,4.543329716,-328.4628601,168.16831970214844,-46.25928116,-31.00867462,-19.22393799,-18.66661835,-12.54371166,-18.46401596,-8.622785568,4.217509746551514,15.93937873840332,18.158079147338867,12.179071426391602,0.09480641,0.1240284442901611,0.1010742485523223,0.2033232003450393,0.2849949598312378,0.2521968781948089,0.3794528841972351,0.6320638656616211,0.7867287397384644,0.4556973874568939,0.2206392437219619,0.09530814,1
379.76119032613553,0.3653163015842438,2340.374013317962,3156.415675905556,0.001313539,0.039353974,961.5806875368984,-65.08994294,4.994524955749512,-151.7237854,124.95573425292967,-33.75124741,-2.771443367,-26.02192307,1.1125112771987915,-4.140950203,10.201663970947266,-1.506783009,7.449735641479492,2.5642521381378174,15.648517608642578,7.055047512054443,0.2983812093734741,0.24254626,0.2781806588172912,0.3595147728919983,0.4468767940998077,0.4339479207992553,0.3623929023742676,0.4246846735477447,0.5951973795890808,0.6547378301620483,0.358135313,0.3339616060256958,1
408.7868826,0.042438194,1430.6951850122564,1725.4059168255517,0.000205204,0.042713612,852.8876123081453,-114.9030188,4.495937824249268,-402.9785461,143.49444580078125,-26.36800385,-32.8299408,-26.79031563,-19.06712723,-7.152902603,-4.188603401,0.098532185,2.454762458801269,11.413806915283203,17.145490646362305,12.097603797912598,0.1185912117362022,0.098335139,0.1085886061191558,0.1480437070131302,0.3335593342781067,0.2973144352436065,0.2576512098312378,0.3100852072238922,0.4965827763080597,0.8544453382492065,0.4899626970291137,0.2197333425283432,1
